training/progress,train/grad_clip_ratio,timing/forward_ms,train/learning_rate,summary/total_iterations,performance/iterations_per_second,eval/loss,eval/num_batches,summary/final_eval_perplexity,train/grad_norm_before_clip,timing/optimizer_ms,summary/final_eval_loss,train/loss,step,system/elapsed_time_hours,performance/tokens_per_second,timing/backward_ms,summary/average_tokens_per_second,timing/eval_total_seconds,model/total_parameters,train/running_loss,training/iteration,summary/total_training_time_hours,timing/total_ms,learning_rate/group_0,model/trainable_parameters,train/perplexity,summary/final_train_loss,eval/perplexity,train/grad_norm_after_clip,timestamp
,0.999999986610079,2609.905004501343,,,,,,,0.7468303915057282,88.87505531311035,,1.4881285429000854,150,,,5778.975009918213,,,,,,,8477.755069732666,,,4.428799450381201,,,0.7468303915057282,1756116250.056085
0.3,,,0.00026841599982106197,,0.11452669362572714,,,,,,,,150,,938.2026741819567,,,,,1.7578243160247802,150,,,,,,,,,1756116250.080173
,,,,,,,,,,,,,150,0.4620658458603753,,,,,,,,,,,,,,,,1756116250.080297
,,,,,,,,,,,,,160,,,,,,,,,,,0.0002621108730457179,,,,,,1756116335.4854012
,0.9999999877173742,2551.790237426758,,,,,,,0.8141581523516429,101.28402709960938,,1.4404864311218262,160,,,6294.010877609253,,,,,,,8947.08514213562,,,4.222749394219146,,,0.8141581523516429,1756116344.659355
0.32,,,0.0002621108730457179,,0.10870340414740554,,,,,,,,160,,890.4982867755461,,,,,1.6747008383274078,160,,,,,,,,,1756116344.684737
,,,,,,,,,,,,,160,0.48834488723013136,,,,,,,,,,,,,,,,1756116344.6848462
,,,,,,,,,,,,,170,,,,,,,,,,,0.0002553326318584458,,,,,,1756116442.7844968
,0.9999999783616479,2525.9549617767334,,,,,,,0.4621423902366567,76.52902603149414,,1.3881410360336304,170,,,5431.225776672363,,,,,,,8033.709764480591,,,4.007393524271736,,,0.4621423902366567,1756116451.069196
0.34,,,0.0002553326318584458,,0.12027408919842326,,,,,,,,170,,985.2853387134834,,,,,1.609044896364212,170,,,,,,,,,1756116451.098803
,,,,,,,,,,,,,170,0.5179043938716252,,,,,,,,,,,,,,,,1756116451.099071
,,,,,,,,,,,,,180,,,,,,,,,,,0.00024811429916896387,,,,,,1756116534.062778
,0.9999999793666456,2834.306001663208,,,,,,,0.4846521607563868,75.47211647033691,,1.3079743385314941,180,,,5909.831762313843,,,,,,,8819.609880447388,,,3.698673857573579,,,0.4846521607563868,1756116543.1209338
0.36,,,0.00024811429916896387,,0.11012855644950263,,,,,,,,180,,902.1731344343256,,,,,1.5535900688171387,180,,,,,,,,,1756116543.14307
,,,,,,,,,,,,,180,0.5434722064601051,,,,,,,,,,,,,,,,1756116543.143195
,,,,,,,,,,,,,190,,,,,,,,,,,0.0002404910419685508,,,,,,1756116622.168313
